#Index,X position (mm), Y position (mm), Length (um),Orientation #(deg), Area (Arbitrary)
130,0.3049,0.3441,4.6384,-78.45,211
131,0.28335,0.29415,9.9059,-69.058,976
132,0.2792,0.30325,3.9963,-84.473,137
133,0.2663,0.33835,5.4282,87.043,133
134,0.26415,0.35925,7.6822,-77.229,663
135,0.11605,0.3897,3.4617,-30.322,79
136,0.1049,0.38505,3.0718,35.92,83
137,0.09035,0.3343,3.9897,-62.635,78
138,0.07665,0.37075,4.3036,49.194,80
139,0.02175,0.40345,5.9678,18.732,290
140,0.0185,0.3085,7.3782,82.476,508
141,-0.0179,0.2929,12.704,-70.248,1639
142,-0.04865,0.33255,10.315,-87.702,931
143,-0.0587,0.33605,6.5443,83.082,303
144,-0.1261,0.39445,4.092,12.63,110
145,-0.1311,0.4052,7.9446,-1.7051,159
146,-0.16,0.3992,6.2251,-84.794,118
147,-0.1654,0.3085,4.2922,13.757,190
148,-0.1698,0.3352,4.4579,-76.435,79
149,-0.16995,0.38745,4.6581,-73.948,80
150,-0.19355,0.3313,5.2789,77.566,201
151,-0.1974,0.3013,4.7846,78.726,173
152,-0.2043,0.3146,5.2187,70.765,299
153,-0.21415,0.33425,6.4596,82.635,181
154,-0.21885,0.24445,4.7258,-5.8635,113
155,-0.22,0.3028,5.5711,85.263,147
156,-0.2483,0.2904,6.5706,76.396,454
157,-0.2805,0.2776,6.9578,4.3804,184
158,-0.3311,0.3669,7.4387,-25.09,155
159,-0.39765,0.3504,8.6578,86.043,209
160,-0.4023,0.27075,3.7369,0.21579,98
161,-0.42075,0.36495,7.3325,68.409,505
162,-0.428,0.2771,4.701,78.722,186
163,-0.45355,0.30365,4.7881,33.82,179
164,-0.48165,0.3794,7.5782,83.153,394
165,-0.4876,0.32385,6.612,81.999,121
166,-0.5506,0.33815,11.437,89.655,1204
167,-0.5768,0.3747,6.2131,-21.669,122
168,-0.5983,0.25805,5.6422,-75.624,136
169,-0.36385,0.2061,3.4536,37.01,71
170,-0.3753,0.15205,5.1806,-81.531,124
171,-0.3779,0.1389,3.9132,-4.9899,78
172,-0.3819,0.23815,4.8208,-81.565,97
173,-0.3873,0.12765,3.5239,-17.205,111
174,-0.39175,0.1572,3.8228,79.968,77
175,-0.39295,0.14645,4.6848,68.978,155
176,-0.39785,0.15435,6.1518,75.593,391
177,-0.39745,0.2162,9.6286,78.794,260
178,-0.40875,0.23175,6.4144,88.612,378
179,-0.41055,0.2033,4.0598,-69.013,71
180,-0.42315,0.18525,7.2509,89.333,353
181,-0.46915,0.2004,7.1885,82.153,382
182,-0.5004,0.22185,9.3617,89.82,859
183,-0.36885,0.082,3.5693,2.2129,94
184,-0.38845,-0.00675,5.9184,50.271,331
185,-0.3865,0.07665,5.3685,-82.762,150
186,-0.4114,0.0488,5.7291,-32.327,382
187,-0.42855,0.02655,9.5725,89.994,565
