#Index,X position (mm), Y position (mm), Length (um),Orientation #(deg), Area (Arbitrary)
15009,3.0505,2.6773,11.272,32.815,1316
15010,2.9963,2.7587,4.9066,-25.17,182
15011,2.969,2.7981,4.9663,-67.096,88
15012,2.939,2.6758,4.3205,48.864,208
15013,2.9262,2.7139,9.1086,-86.11,725
15014,2.9192,2.7467,7.7787,75.285,547
15015,2.9104,2.6745,5.7842,78.924,303
15016,2.8944,2.6417,4.1265,12.702,101
15017,2.8893,2.6476,5.8838,8.516,378
15018,2.8803,2.6769,4.6346,85.376,131
15019,2.8749,2.6532,12.062,-46.139,878
15020,2.8626,2.6418,7.6732,-12.176,468
15021,2.8583,2.6628,4.7433,16.644,220
15022,2.8516,2.7713,7.4229,86.045,275
15023,2.8495,2.6754,5.1979,79.675,106
15024,2.8451,2.6835,6.4581,-86.699,441
15025,2.8447,2.6639,7.4497,83.41,500
15026,2.8364,2.688,7.2586,81.518,417
15027,2.8247,2.6586,5.7357,2.1837,266
15028,2.8246,2.6724,5.2863,-88.186,227
15029,2.8178,2.663,5.2046,84.204,221
15030,2.8141,2.7617,7.4853,-86.97,457
15031,2.8123,2.7007,6.0587,85.715,229
15032,2.7857,2.7118,5.447,-44.884,86
15033,2.7808,2.6865,5.2879,-32.578,86
15034,2.7749,2.7172,6.0816,55.347,294
15035,2.7592,2.6523,5.1994,-68.929,225
15036,2.7452,2.7419,4.0379,58.33,95
15037,2.7423,2.7488,5.1862,74.238,95
15038,2.7348,2.7169,4.3257,65.364,139
15039,2.7311,2.7529,4.7173,88.369,194
15040,2.7301,2.7186,4.5021,73.065,107
15041,2.7294,2.7938,7.97,-87.978,679
15042,2.7186,2.7593,6.7104,-82.972,412
15043,2.7139,2.6502,3.9789,3.3349,131
15044,2.7092,2.6866,4.2403,75.728,140
15045,2.7052,2.6795,5.8818,-64.791,320
15046,2.7063,2.7707,5.7685,86.463,88
15047,2.6917,2.7786,6.3441,72.573,327
15048,2.685,2.7767,9.8014,82.358,667
15049,2.6763,2.791,12.677,52.842,666
15050,2.6639,2.7983,6.6315,79.29,285
15051,2.6592,2.6684,4.3539,77.17,155
15052,2.6561,2.794,4.4768,12.592,86
15053,2.6336,2.7747,12.249,73.851,1150
15054,2.6329,2.7465,6.1361,-76.453,73
15055,2.6221,2.7345,5.2491,-73.997,71
15056,2.6215,2.7227,7.8746,82.33,104
15057,2.6156,2.7657,12.296,-52.427,1074
15058,2.6089,2.7792,7.9669,89.932,233
15059,2.5996,2.7568,5.6708,-60.576,127
15060,2.5864,2.7218,5.1635,-59.129,76
15061,2.5781,2.7257,6.757,87.173,206
15062,2.5755,2.6735,7.1037,80.438,434
15063,2.5738,2.7322,7.109,-88.222,253
15064,2.5683,2.6929,5.7236,84.325,163
15065,2.5428,2.7469,6.6771,-37.71,171
15066,2.5359,2.6797,5.9578,79.708,187
15067,2.5275,2.6491,6.0733,-71.78,244
15068,2.275,2.7846,4.669,-87.743,88
15069,2.2697,2.6952,4.9686,-14.649,179
15070,2.2669,2.6879,5.6879,1.7023,268
15071,2.2634,2.7562,4.9363,-43.316,210
15072,2.2616,2.6721,4.7414,-43.176,80
15073,2.2493,2.7456,5.0621,-89.259,310
15074,2.2329,2.7981,5.1624,-75.977,88
15075,2.2271,2.7364,4.9804,77.812,90
15076,2.2238,2.7169,4.7351,76.034,245
15077,2.221,2.7674,4.4621,-82.505,72
15078,2.2167,2.7632,5.2052,88.118,80
15079,2.2122,2.685,4.0763,87.754,115
15080,2.2112,2.763,5.2392,58.73,226
15081,2.1895,2.7495,5.9987,82.436,351
15082,2.188,2.6928,5.7164,-83.858,327
15083,2.1871,2.763,6.0212,79.568,253
15084,2.1766,2.8032,6.1832,16.074,390
15085,2.1772,2.7549,5.8278,75.273,178
15086,2.1736,2.6709,5.4639,60.437,334
15087,2.1743,2.7942,9.5054,85.057,581
15088,2.1661,2.6837,5.982,-87.384,356
15089,2.1662,2.6537,4.0585,25.36,93
15090,2.1592,2.8002,6.1102,-75.161,202
15091,2.1546,2.6768,5.4664,-89.447,293
15092,2.1508,2.6434,5.1673,3.5926,174
15093,2.1165,2.6869,5.286,-58.698,285
15094,2.1121,2.7955,8.8696,-86.782,838
15095,2.0802,2.6877,6.7167,-10.848,379
15096,2.0362,2.7146,3.5494,29.68,90
15097,2.0318,2.7079,7.8821,-55.397,564
15098,2.0239,2.8036,5.9513,-12.259,242
15099,2.0162,2.7946,3.2488,24.378,95
15100,1.9927,2.7058,4.524,70.544,105
15101,1.9902,2.7638,5.53,78.46,175
15102,1.9842,2.6752,4.2662,33.241,201
15103,1.9831,2.6688,4.2921,9.5527,202
15104,1.9813,2.6949,4.5311,66.889,194
15105,1.9797,2.7938,7.1632,74.172,491
15106,1.954,2.688,5.9382,72.866,343
15107,1.945,2.6604,5.0788,16.193,298
15108,1.9408,2.7883,6.7511,81.68,183
15109,1.9301,2.6831,7.1528,87.111,507
15110,1.9275,2.7522,7.825,83.22,546
15111,1.909,2.645,5.2216,1.6504,228
15112,1.9067,2.7815,9.4079,85.196,733
15113,1.8991,2.7005,5.8724,78.057,306
15114,1.894,2.7381,6.4059,82.817,227
15115,1.8799,2.6692,5.0057,11.606,176
15116,1.8512,2.6759,5.3081,8.9137,310
15117,1.8497,2.7623,8.882,-86.881,766
15118,1.845,2.7397,7.4197,85.931,400
15119,1.8372,2.7157,9.578,23.387,829
15120,1.8339,2.6994,6.6588,85.898,413
15121,1.8215,2.7064,6.5647,86.817,435
15122,1.7932,2.7426,7.4802,-22.576,469
15123,1.7842,2.7715,7.4737,64.697,579
15124,1.7829,2.7492,5.8682,-22.495,238
15125,1.7748,2.7963,4.2178,76.234,94
15126,1.767,2.7677,5.4403,-29.757,289
15127,1.7676,2.8035,5.437,81.283,151
15128,1.7611,2.757,6.1442,84.891,437
15129,1.7494,2.6914,4.2656,41.445,171
15130,1.748,2.7679,6.0189,74.122,278
15131,1.7363,2.7873,6.1127,-81.852,296
15132,1.7158,2.6409,8.4532,-1.4022,323
15133,1.7047,2.7415,12.098,83.346,1287
15134,1.7053,2.802,8.128,76.888,638
15135,1.6895,2.736,10.756,80.347,915
15136,1.682,2.7015,5.352,75.967,149
15137,1.6513,2.6953,5.9892,83.278,335
15138,1.643,2.7082,9.7686,88.101,713
15139,1.6425,2.6667,5.3663,21.404,246
15140,1.6369,2.6996,6.0554,69.686,132
15141,1.6285,2.673,4.8942,28.157,151
15142,1.6128,2.7056,6.3161,-89.562,333
15143,1.5988,2.7724,3.9837,-61.009,88
15144,1.5957,2.7201,7.0354,86.82,365
15145,1.56,2.691,7.0593,88.61,298
15146,1.5566,2.7435,4.5039,-22.254,162
15147,1.5531,2.7817,5.0284,3.6865,182
15148,1.5511,2.7269,4.5601,-10.69,235
15149,1.5466,2.7942,8.9722,-22.48,578
15150,1.5299,2.7846,5.9826,-38.854,367
15151,1.5274,2.7274,5.0189,-32.283,238
15152,1.5185,2.645,3.1113,35.632,72
15153,1.5195,2.7886,6.3734,41.714,167
15154,1.5102,2.72,5.1924,-70.152,255
15155,1.4871,2.7552,8.533,79.926,592
15156,1.4472,2.6487,5.7618,84.229,384
15157,1.4441,2.6965,5.2042,82.142,155
15158,1.4406,2.7673,6.1212,-59.195,124
15159,1.4231,2.7268,7.3643,88.261,406
15160,1.4224,2.7705,3.6427,-70.696,72
15161,1.4099,2.6512,10.46,-64.662,1110
15162,1.4129,2.7334,5.4912,35.738,75
15163,1.4086,2.6701,5.3592,85.879,300
15164,1.4089,2.7933,10.371,84.983,897
15165,1.3852,2.7351,6.9097,87.434,221
15166,1.3783,2.6971,6.2316,81.106,405
15167,1.3725,2.7985,3.658,-56.788,91
15168,1.3409,2.6968,5.1885,-40.32,79
15169,1.3158,2.7583,3.7453,84.535,79
15170,1.3152,2.8015,4.2482,-83.619,80
15171,1.3098,2.7232,5.4941,29.92,366
15172,1.2827,2.7326,4.2893,34.612,162
15173,1.2766,2.6871,4.4919,87.528,225
15174,1.2764,2.7018,4.1962,63.033,91
15175,1.2722,2.6472,5.0257,0.27024,217
15176,1.2728,2.779,7.4851,86.628,188
15177,1.2642,2.7099,4.7,75.606,205
15178,1.2634,2.6696,3.524,16.862,117
15179,1.2578,2.7589,5.7003,82.864,124
15180,1.2555,2.7315,5.0935,77.675,93
15181,1.2505,2.6762,3.6545,70.312,78
15182,1.25,2.7171,5.0361,71.457,247
15183,1.25,2.7666,5.1353,-76.447,78
15184,1.2431,2.7167,5.7178,84.673,103
15185,1.2244,2.641,4.211,25.463,181
15186,1.2202,2.7146,11.733,-11.584,1300
15187,1.2197,2.6877,4.4115,49.809,137
15188,1.2149,2.7732,6.6248,81.328,121
15189,1.1807,2.6536,5.0079,-2.2871,234
15190,1.1719,2.6883,6.2011,66.524,394
15191,1.1699,2.7998,7.0206,-62.603,118
15192,1.1651,2.6767,5.434,69.274,322
15193,1.1583,2.7401,9.8089,81.857,1154
15194,1.1502,2.6632,5.0546,33,86
15195,1.1456,2.6472,5.5034,6.5929,102
15196,1.1425,2.7555,3.773,88.184,98
15197,1.138,2.682,4.3519,-46.683,81
15198,1.1309,2.6401,5.5809,4.8082,112
15199,1.13,2.7276,6.0828,-54.398,155
15200,1.1237,2.7508,7.5741,88.986,545
15201,1.1238,2.6959,5.5656,72.724,171
15202,1.1187,2.6743,4.9602,82.197,253
15203,1.1101,2.6514,5.451,0.19192,167
15204,1.0915,2.6754,5.6678,-18.373,132
15205,1.091,2.7233,6.4281,-27.939,209
15206,1.086,2.751,6.571,-83.298,259
15207,1.0838,2.7926,7.2916,15.609,313
15208,1.0593,2.7659,8.5701,-57.123,935
15209,1.0434,2.6525,4.6153,-2.2891,175
15210,1.032,2.7787,4.404,-82.138,74
15211,1.0223,2.7171,4.264,-81.917,107
15212,1.0191,2.6537,10.011,81.058,395
15213,1.0163,2.782,6.7108,-86.097,431
15214,1.0111,2.6522,4.4108,4.6555,84
15215,1.0055,2.6797,4.5267,51.442,191
15216,0.9952,2.7,7.0856,80.85,448
15217,0.97575,2.6714,4.1152,75.691,107
15218,0.97345,2.794,6.6898,71.202,426
15219,0.96845,2.7008,4.1059,-3.9611,118
15220,0.9477,2.7129,5.0136,-57.819,73
15221,0.9444,2.7088,6.1068,81.302,256
15222,0.93165,2.6681,3.9158,-49.894,83
15223,0.926,2.6677,8.9594,-77.51,366
15224,0.9268,2.6617,4.2033,-40.968,108
15225,0.91825,2.6742,8.4639,79.515,606
15226,0.91795,2.6472,5.3097,0.15346,302
15227,0.89425,2.7918,5.8436,-41.906,145
15228,0.84795,2.6653,5.3808,-39.828,293
15229,0.83465,2.7507,5.8775,-89.701,367
15230,0.83335,2.737,3.8518,68.455,126
15231,0.8311,2.6636,3.7467,20.222,80
15232,0.8316,2.7752,5.4805,-23.631,308
15233,0.83115,2.7827,6.7279,-37.085,355
15234,0.82045,2.6634,4.7374,-0.32873,198
15235,0.80775,2.6723,3.5578,0.29761,94
15236,0.80695,2.7105,4.1149,21.888,179
15237,0.8053,2.6929,3.8798,14.716,135
15238,0.8061,2.759,4.9921,84.821,197
15239,0.7961,2.7803,5.7068,89.012,145
15240,0.7873,2.6694,3.4743,-6.5187,88
15241,0.78705,2.7219,4.7163,76.25,111
15242,0.7845,2.6891,3.9866,83.432,77
15243,0.7804,2.7506,5.4711,80.9,280
15244,0.7758,2.7149,5.3304,76.14,245
15245,0.7733,2.6774,4.3254,64.109,179
15246,0.7701,2.6964,5.4837,81.659,310
15247,0.762,2.6523,4.0797,21.68,165
15248,0.76445,2.7942,6.0435,87.572,230
15249,0.76015,2.6798,8.6679,76.297,716
15250,0.7573,2.6898,4.6874,73.831,125
15251,0.75435,2.6416,4.2243,16.687,95
15252,0.72285,2.7517,6.9655,86.458,313
15253,0.7137,2.7267,6.6433,84.931,358
15254,0.7079,2.6637,4.6198,-12.999,208
15255,0.70715,2.7289,6.964,83.48,211
15256,0.6972,2.6653,3.0081,1.7721,74
15257,0.6946,2.6703,4.4591,39.002,81
15258,0.6899,2.7075,6.7356,86.598,308
15259,0.6787,2.7354,6.5668,-89.142,253
15260,0.67625,2.6637,6.7463,-86.014,166
15261,0.6672,2.7893,7.2815,-51.768,136
15262,0.6611,2.7235,5.3501,-68.62,117
15263,0.64385,2.7291,5.9843,42.923,95
15264,0.64045,2.6857,5.6962,-82.667,299
15265,0.63485,2.7664,7.59,-37.838,277
15266,0.6102,2.7838,7.4681,74.508,192
15267,0.6063,2.7049,8.5968,-76,673
15268,0.60435,2.7505,7.366,-81.172,406
15269,0.59505,2.7225,4.3551,-37.263,201
15270,0.59405,2.7908,4.6904,79.385,109
15271,0.58575,2.69,4.6946,-4.2983,200
15272,0.57465,2.6983,3.6107,77.249,92
15273,0.57145,2.7065,3.9349,78.166,84
15274,0.5685,2.6411,4.9075,-3.2554,184
15275,0.5717,2.7993,6.2034,-38.341,429
15276,0.5658,2.7751,5.9801,70.535,396
15277,0.56145,2.6639,4.9678,-14.913,255
15278,0.56145,2.7233,7.0881,60.712,532
15279,0.56075,2.7379,4.6447,75.678,154
15280,0.56255,2.7974,4.8507,-79.73,105
15281,0.55895,2.7095,4.6952,73.155,194
15282,0.55255,2.8026,5.7231,-26.614,255
15283,0.53515,2.7477,5.317,79.789,161
15284,0.5312,2.6486,3.3036,35.925,74
15285,0.5259,2.7007,5.0051,84.525,159
15286,0.5232,2.7099,5.0016,84.755,92
15287,0.5175,2.7771,6.1677,76.237,200
15288,0.50965,2.8013,6.5371,82.881,370
15289,0.49205,2.648,4.1728,17.901,122
15290,0.4838,2.6429,5.2994,15.34,299
15291,0.4818,2.751,7.0319,-88.058,363
15292,0.4714,2.644,4.4288,-7.0015,205
15293,0.46785,2.785,7.4901,89.322,449
15294,0.45985,2.661,8.7715,81.26,398
15295,0.45745,2.7169,7.0169,83.132,336
15296,0.44105,2.6843,4.8924,-29.007,169
15297,0.4276,2.6729,5.1971,86.758,215
15298,0.41315,2.6461,7.7746,-72.911,392
15299,0.41525,2.7908,3.5781,-54.495,75
15300,0.40745,2.7375,11.348,-66.849,550
15301,0.40155,2.7908,3.081,-52.566,86
15302,0.39775,2.7908,7.9817,86.517,187
15303,0.3705,2.7426,7.4959,-87.774,608
15304,0.35625,2.7666,3.6904,-4.177,75
15305,0.3497,2.6908,4.2224,8.2286,195
15306,0.3472,2.7227,4.1698,82.036,79
15307,0.34395,2.7341,3.7975,84.799,71
15308,0.3396,2.687,4.1206,3.3192,188
15309,0.33305,2.7341,6.5886,4.8269,424
15310,0.331,2.7944,6.9236,-52.12,493
15311,0.32515,2.7229,5.6948,71.174,219
15312,0.32505,2.761,4.9469,-0.65349,216
15313,0.3189,2.7629,5.519,74.877,321
15314,0.3171,2.7191,4.7268,80.638,98
15315,0.30905,2.6621,4.3645,-17.694,157
15316,0.2998,2.8036,4.2271,-76.798,136
15317,0.29015,2.678,4.0377,73.481,116
15318,0.283,2.7777,9.3655,84.931,688
15319,0.27125,2.654,5.4324,-85.243,265
15320,0.2692,2.7037,5.5411,86.64,215
15321,0.27015,2.8029,5.6672,-73.047,99
15322,0.26755,2.7332,5.6123,89.902,201
15323,0.2594,2.7397,6.0371,73.817,243
15324,0.24455,2.761,7.7435,83.137,500
15325,0.23195,2.7317,6.0578,-70.588,140
15326,0.19205,2.7705,6.7611,81.634,271
15327,0.1465,2.6616,14.811,-55.342,2073
15328,0.1154,2.8047,7.0848,-7.1616,483
15329,0.11355,2.6658,4.3022,-6.8876,146
15330,0.11445,2.7608,7.1571,-60.649,569
15331,0.1009,2.79,4.7196,-83.957,91
15332,0.0857,2.7296,6.8864,79.356,467
15333,0.08465,2.7218,4.0153,72.539,81
15334,0.0778,2.79,5.9375,79.836,279
15335,0.07105,2.6533,5.8261,6.0189,366
15336,0.0673,2.7916,7.4253,85.761,547
15337,0.06395,2.6435,4.3694,10.421,132
15338,0.0597,2.6539,9.0598,77.683,915
15339,0.0605,2.6979,4.2906,84.539,119
15340,0.05755,2.7608,6.8852,77.364,375
15341,0.0523,2.6426,5.4261,0.029105,288
15342,0.04435,2.7572,5.4293,84.663,134
15343,-0.014,2.7972,12.28,86.663,1359
15344,-0.01495,2.7604,6.8957,83.594,219
15345,-0.0189,2.6713,7.3683,83.482,540
15346,-0.0455,2.7167,7.9635,87.29,608
15347,-0.05495,2.787,7.0515,74.811,570
15348,-0.0568,2.7683,6.8237,-59.019,189
15349,-0.083,2.7854,4.3415,-41.283,118
15350,-0.1257,2.7244,8.3074,87.931,613
15351,-0.12815,2.7338,7.958,-64.416,439
15352,-0.12925,2.7835,4.8325,85.72,111
15353,-0.1398,2.7644,8.2554,58.987,682
15354,-0.1388,2.8022,3.577,52.008,96
15355,-0.1616,2.647,4.1193,4.295,88
15356,-0.1639,2.6971,4.6291,72.89,134
15357,-0.1746,2.8033,4.9567,-77.371,83
15358,-0.1809,2.6921,4.1276,58.848,130
15359,-0.18425,2.6718,7.7222,71.598,459
15360,-0.18075,2.7868,5.6441,87.902,79
15361,-0.2137,2.7541,6.27,74.025,73
15362,-0.29605,2.6994,6.5939,88.229,350
15363,-0.31315,2.6383,3.716,28.37,151
15364,-0.3133,2.6594,4.9529,48.377,240
15365,-0.32945,2.6588,12.707,5.6203,1628
15366,-0.33975,2.6474,8.9879,-63.448,769
15367,-0.34095,2.636,3.6563,-50.683,88
15368,-0.3694,2.7431,6.1243,11.066,444
15369,-0.3681,2.8024,3.658,-83.151,74
15370,-0.3764,2.7503,7.0215,64.835,502
15371,-0.39405,2.7745,5.1413,-89.669,89
15372,-0.4545,2.7918,9.8546,80.135,806
15373,-0.47845,2.7807,9.8801,89.39,568
15374,-0.51415,2.71,7.067,84.554,366
15375,-0.517,2.8015,8.917,85.484,662
15376,-0.54315,2.7476,9.034,-84.186,686
15377,-0.57205,2.7522,13.506,-29.759,2001
15378,-0.6044,2.7931,6.1529,79.497,152
15379,-0.62,2.645,3.9871,10.063,130
15380,-0.6189,2.7805,4.983,76.772,121
15381,-0.65545,2.6613,5.4504,79.34,329
15382,-0.6553,2.7556,4.5046,-82.332,77
15383,-0.6571,2.7902,5.6242,-6.5312,129
15384,-0.66425,2.744,9.6273,76.142,768
15385,-0.66565,2.6771,4.1973,72.25,147
15386,-0.66945,2.673,3.4923,-85.074,79
15387,-0.6791,2.7257,5.5115,-87.534,73
15388,-0.6839,2.7514,6.8612,81.982,130
15389,-0.71695,2.7725,6.564,-80.294,84
15390,-0.72485,2.7525,6.5517,-84.962,301
15391,-0.81255,2.7556,13.594,-69.131,1555
15392,-0.8395,2.6613,8.1254,-16.969,805
15393,-0.8449,2.6794,8.732,35.385,393
15394,-0.84495,2.7961,4.6955,-84.525,111
15395,-0.8481,2.7279,4.0997,57.589,86
15396,-0.85105,2.6474,4.208,15.764,82
15397,-0.84885,2.7908,6.7718,69.963,165
15398,-0.84915,2.8023,6.6485,-87.381,192
15399,-0.85605,2.6837,8.8073,72.214,267
15400,-0.8629,2.7335,3.9342,29.103,85
15401,-0.87795,2.7563,8.4846,83.505,137
15402,-0.88405,2.6876,5.1935,76.014,254
15403,-0.89945,2.6598,5.2738,70.945,175
15404,-0.90145,2.6425,3.318,89.329,113
15405,-0.92355,2.6617,4.9941,28.904,91
15406,-0.93775,2.6928,6.1407,83.978,248
15407,-0.95335,2.7952,5.1504,31.518,84
15408,-0.96595,2.6919,6.3761,80.735,155
15409,-0.9749,2.6552,4.6353,56.874,180
15410,-0.97535,2.7963,7.8194,80.047,417
15411,-1.0818,2.7959,4.427,20.653,82
15412,-1.0854,2.6638,5.6115,-15.974,99
15413,-1.0882,2.6576,3.9865,-24.275,80
15414,-1.0956,2.6615,10.266,3.4326,435
15415,-1.0905,2.7649,5.4503,73.602,110
15416,-1.096,2.7293,4.3235,-23.433,110
15417,-1.0998,2.6508,4.2892,25.198,91
15418,-1.1063,2.6515,4.9742,-4.6994,105
15419,-1.1079,2.6455,5.234,-5.7461,114
15420,-1.1077,2.7831,4.0466,30.085,71
15421,-1.1237,2.6625,6.3546,25.995,116
15422,-1.1263,2.7435,6.3638,79.914,113
15423,-1.156,2.6456,3.9621,-28.558,144
15424,-1.169,2.7101,6.2464,80.738,77
15425,-1.1857,2.7331,10.905,85.866,1121
15426,-1.1934,2.7268,7.6961,85.143,364
15427,-1.2398,2.7354,8.6322,86.685,474
15428,-1.2697,2.6578,4.7542,84.502,107
15429,-1.3132,2.7173,6.7519,-85.963,241
15430,-1.3494,2.6955,5.5614,74.414,266
15431,-1.3496,2.7801,6.6139,75.386,374
15432,-1.3856,2.6862,5.6511,78.502,105
15433,-1.4164,2.7494,7.6136,84.044,115
15434,-1.4395,2.7471,9.6101,81.578,558
15435,-1.4647,2.7653,8.3434,84.077,299
15436,-1.4783,2.6657,5.1415,-89.663,199
15437,-1.5453,2.6593,9.9978,-81.971,799
15438,-1.5732,2.6771,9.8451,52.094,1034
15439,-1.5747,2.7542,4.2323,81.643,72
15440,-1.602,2.7979,7.3694,76.804,110
15441,-1.6043,2.7975,3.9674,-79.489,92
15442,-1.6064,2.7478,6.4406,77.874,95
15443,-1.6217,2.6672,4.4661,76.099,123
15444,-1.626,2.8002,10.215,74.798,1164
15445,-1.6341,2.6481,8.2201,75.62,584
15446,-1.6342,2.7511,7.6203,78.682,358
15447,-1.6455,2.6485,4.1832,71.562,146
15448,-1.6626,2.7931,5.2915,18.26,149
15449,-1.801,2.7878,5.2172,68.244,71
15450,-1.8053,2.7559,4.6389,-74.527,118
15451,-1.8061,2.746,4.1565,65.21,77
15452,-1.8095,2.7785,3.3575,34.576,78
15453,-1.8139,2.739,4.2642,67.423,96
15454,-1.817,2.7887,5.7827,80.283,126
15455,-1.8516,2.798,5.9603,23.667,78
15456,-1.8533,2.7344,7.9704,54.554,188
15457,-1.8721,2.7859,5.7931,-87.24,94
15458,-1.883,2.727,7.0598,79.932,122
15459,-1.9127,2.678,9.1143,83.875,565
15460,-1.9368,2.6893,6.569,79.366,156
15461,-1.9739,2.7947,7.6572,-88.615,399
15462,-1.9933,2.6634,5.6937,-84.764,325
15463,-1.9929,2.7257,5.7745,-60.892,121
15464,-2.0444,2.7549,4.3582,63.32,105
15465,-2.062,2.7625,12.048,-31.5,1627
15466,-2.0988,2.7702,12.892,64.588,1451
15467,-2.1165,2.7772,9.127,-88.717,786
15468,-2.1196,2.8019,6.6562,78.176,438
15469,-2.1212,2.785,5.6981,58.955,94
15470,-2.1364,2.6873,5.516,81.075,128
15471,-2.1449,2.7011,5.2707,86.535,192
15472,-2.2228,2.6415,5.2102,5.6079,83
15473,-2.2891,2.6531,3.8294,8.97,101
15474,-2.2993,2.77,9.1247,51.475,830
15475,-2.3228,2.6632,4.107,9.3179,154
15476,-2.4896,2.6806,5.4742,84.508,304
15477,-2.5184,2.6699,6.7911,-69.588,402
15478,-2.5369,2.7623,4.8195,-89.313,104
15479,-2.5673,2.7581,7.7848,-89.644,270
15480,-2.5705,2.7931,5.0415,-83.826,109
15481,-2.589,2.7487,6.091,77.215,207
15482,-2.6027,2.7485,6.1205,84.225,133
15483,-2.6301,2.7864,8.2135,84.42,543
15484,-2.6412,2.7099,8.2849,85.181,445
15485,-2.6695,2.6414,5.9588,5.7514,278
15486,-2.6693,2.6693,6.9768,-73.194,532
15487,-2.7447,2.7124,6.0121,-82.856,322
15488,-2.7522,2.7126,8.0004,-82.341,542
15489,-2.7664,2.7054,6.8355,24.655,455
15490,-2.768,2.747,6.1177,-8.0034,94
15491,-2.7859,2.757,3.1612,-27.723,74
15492,-2.788,2.7232,3.9695,86.467,93
15493,-2.7895,2.7559,3.9302,-50.108,76
15494,-2.8134,2.6664,3.849,50.007,91
15495,-2.8584,2.7939,6.3986,-83.68,109
15496,-2.8623,2.7644,5.5224,-87.196,181
15497,-2.8656,2.7283,7.2919,82.468,402
15498,-2.8717,2.7039,9.5668,-89.878,747
15499,-2.8883,2.6628,8.1642,0.19286,568
15500,-2.9254,2.7676,7.5271,88.166,318
15501,-3.0017,2.6947,5.9738,87.595,114
15502,-3.0035,2.7112,8.0953,-82.503,362
15503,-3.0639,2.7375,5.7695,81.127,101
15504,-3.0801,2.6463,4.4843,-4.0469,186
15505,-3.0942,2.6579,5.4367,73.263,258
15506,-3.0915,2.7848,6.4984,84.948,157
15507,-3.0947,2.7932,6.5459,81.762,253
15508,-3.1361,2.7674,8.3358,84.897,209
15509,-3.1406,2.6602,7.7215,75.626,578
15510,-3.1699,2.6407,5.6311,8.1273,84
15511,-3.1788,2.6801,8.357,86.906,584
15512,-3.2494,2.7313,4.9551,-38.396,87
15513,-3.2539,2.7096,5.5361,-22.71,233
15514,-3.2629,2.7802,9.6544,-85.843,1157
15515,-3.2698,2.7812,5.2811,65.66,109
15516,-3.2757,2.6908,4.0351,20.882,79
15517,-3.2812,2.7578,5.5995,74.563,97
15518,-3.2912,2.7416,4.8522,-83.323,211
15519,-3.295,2.7906,5.8938,-59.019,87
15520,-3.3042,2.7186,6.7088,83.806,406
15521,-3.3308,2.7292,6.3271,80.979,288
15522,-3.4163,2.7963,4.0564,-63.197,93
15523,-3.4201,2.7133,5.6461,-59.986,121
15524,-3.4419,2.7079,6.7474,87.785,226
15525,-3.4506,2.7016,5.1313,-45.039,130
15526,-3.4728,2.699,8.9405,-58.721,790
15527,-3.5459,2.7159,5.0215,-80.565,105
15528,-3.5759,2.6761,4.8918,20.292,93
15529,-3.5823,2.6575,6.7988,22.669,281
15530,-3.5891,2.7938,10.506,80.755,592
15531,-3.5939,2.7416,5.774,-83.197,131
15532,-3.6003,2.7736,6.666,-74.15,118
15533,-3.6067,2.7199,8.7702,83.085,517
15534,-3.6197,2.6784,4.2752,-55.633,87
15535,-3.6249,2.6558,6.7871,-14.948,295
15536,-3.6363,2.7764,7.1356,-72.686,157
15537,-3.6564,2.7756,6.7163,-80.879,235
15538,-3.6591,2.7555,11.026,-12.167,603
15539,-3.671,2.7516,3.5408,-70.845,94
15540,-3.6751,2.7203,5.8968,-51.824,131
15541,-3.6813,2.8006,8.8031,-32.073,492
15542,-3.6838,2.7855,4.266,57.518,104
15543,-3.6992,2.767,6.7986,-24.828,120
15544,-3.7085,2.7026,5.7606,-31.762,99
15545,-3.7131,2.6558,4.6404,-67.589,95
15546,-3.7273,2.7083,3.3871,78.486,82
15547,-3.7278,2.7188,3.2015,-41.613,75
15548,-3.7287,2.752,5.6572,53.016,311
15549,-3.7322,2.6628,6.3121,-86.774,364
15550,-3.7381,2.742,5.9329,29.823,396
15551,-3.7398,2.7756,4.7578,78.98,117
15552,-3.7413,2.7111,4.6791,81.086,133
15553,-3.7451,2.7923,3.6733,48.213,84
15554,-3.7481,2.7691,5.1247,76.917,106
15555,-3.751,2.7414,4.0924,-76.226,76
15556,-3.7743,2.6461,7.5755,-79.861,484
15557,-3.7716,2.7034,5.4148,78.595,184
15558,-3.7892,2.7278,5.8207,77.287,181
15559,-3.8034,2.7786,11.275,62.365,822
15560,-3.8497,2.7721,7.5726,85.642,165
15561,-3.864,2.7279,7.0232,84.827,298
15562,-3.8947,2.7088,7.303,88.395,396
15563,-3.9026,2.7605,8.5793,83.048,859
15564,-3.9061,2.7314,7.5739,-84.399,232
15565,-3.9095,2.7932,10.23,87.64,938
15566,-3.9449,2.6472,4.4994,-62.452,178
15567,-3.9643,2.8062,4.2313,-30.439,106
15568,-3.9692,2.7953,4.1278,75.612,91
15569,-3.979,2.7805,8.5515,86.419,732
15570,-3.9957,2.7106,6.4987,72.695,288
15571,-4.0047,2.6766,9.2347,14.263,1052
15572,-4.0022,2.7773,8.7861,-44.101,345
15573,-4.0025,2.7342,4.5723,86.849,73
15574,-4.0036,2.7987,8.645,43.79,180
15575,-4.0176,2.6651,3.1244,62.735,84
15576,-4.0243,2.6595,3.5588,32.945,126
